Word,Count
100us,7
power,7
cleared,7
low,7
(SYN,7
arg,7
stop,7
After,7
Clear,7
Wait,7
Common,7
mode\n,7
PPP,7
DATA,7
define,7
which,7
>>,7
how,7
{};,7
module,7
listen,7
transmits,7
Address,7
Server,7
Used,6
temperature,6
visit,6
each,6
\register,\,6
To,6
https://github.com/Wiznet/ioLibrary_Driver,6
65535,6
occurs,6
\address,\,6
IGMP,6
repository,6
applied,6
Download,6
Sn_TTL,6
PMRU,6
response,6
-----------------------------,6
Message,6
acquired,6
directly,6
IPv6,6
2013/10/21,6
phy,6
Notice,6
bus,6
16,6
Control,6
Header,6
W5200,6
same,6
ICMP,6
Conflict,6
Error,6
<2015/02/05>,6
Please,6
like,6
start,6
Sn_FRAG,6
busy,6
WIZCHIP_IO_Functions,6
UPORTR,6
file,6
\_WIZCHIP_,6
Add,6
there,6
percentage,6
prescaler,6
Sn_DIPR,6
W5100,6
WOL,6
magic,6
latest,6
Call,6
<2013/10/21>,6
Sn_TOS,6
ioLibrary,6
Sn_MSSR,6
immediately,6
addr,6
basic,6
Port,6
open,6
transmitting,6
0),6
Magic,6
incoming,6
these,6
blocks,6
@,6
:\n,6
system,6
opened,6
increment,6
saved,6
\flag,\,6
Sample,6
case,5
WIZCHIP_register,5
\b,5
Gateway,5
Multicast,5
user,5
registers,5
Update,5
LED,5
Sn_MR_UDP,5
\_WIZCHIP_IO_MODE_SPI_,5
add,5
removed,5
\environment,\,5
DNS,5
Interrupt</b>,5
=>,5
Sn_MR(P[3:0]),5
gateway,5
INTLEVEL,5
per,5
Device,5
Information,5
\debugging,\,5
<I>len</I>,5
*@brief,5
Remove,5
duty_cycle,5
delay_us(10000);,5
#endif,5
legacy,5
wants,5
saving,5
transmitted,5
receives,5
doesn't,5
OC4RS,5
SOCKERR_TIMEOUT,5
configurations,5
NODE,5
M20150409,5
does,5
exceeds,5
Packet,5
BUS,5
compare,5
keep-alive,5
MESSAGE,5
reception,5
character,5
at,5
Not,5
group,5
off,5
exceed,5
(6,5
also,5
record,5
<td>3</td>,5
Received,5
CRC,5
command..,5
NACK,5
counter,5
according,5
<td>7</td>,5
turn,5
support,5
sample,5
output,5
every,5
||,5
Subnet,5
register(R),5
255,5
Sn_TX_RD,5
PTIMER,5
<td>5</td>,5
</b>,5
non-block,5
getsockopt,5
sends,5
field,5
1s,5
TCPTO,5
<b>in,5
<td>4</td>,5
PMAGIC,5
mac,5
OC3RS,5
\occurs,\,5
*@todo,5
subnet,5
!=,5
<td>2</td>,5
\data,\,5
<td>6</td>,5
OpenADC10,5
Describe,5
indicate,5
multicast,5
'1'),5
DECLINE,5
while,5
Check,5
\W5100,\,5
Transmit,5
returned,5
peer.\n,5
transfer,5
driver,5
change,5
*@note,5
disconnect-process,5
MAGIC_COOKIE,5
\%x\n"\,\,5
PSID,5
Sn_PORT,5
IEC0<9>,4
intr_kind,4
already,4
fatal,4
CONNECT,4
5100,4
indirect,4
0x8000;,4
socket(),4
_WIZCHIP_IO_MODE_BUS_INDIR_,4
type-cast,4
\details,4
complete,4
offset,4
\,\,4
1:,4
*buffer,4
leased,4
Delayed,4
WIZchip,4
passive-close.\n,4
Blocking,4
16bits,4
SOCKERR_DATALEN,4
CONFIG,4
******************************************************,4
sockopt_type,4
waits,4
SOCK_INIT,4
\PPPoE,\,4
(4,4
UART2,4
instead,4
Wake,4
Machine,4
%d,4
(duty_cycle,4
Initialize,4
Broadcast,4
<2014/05/01>,4
N,4
made,4
equal,4
\_WIZCHIP_IO_MODE_BUS_DIR_,4
BIT_2);,4
FIN,4
sever,4
accepts,4
successful,4
datagram,4
uptime,4
operated,4
normal,4
\packet,\,4
\null,\,4
On,4
warning,4
DHCP_run(),4
Current,4
PLL,4
sock_pack_info[sn],4
/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////,4
A20150401,4
OFF,4
Value:,4
lower,4
end,4
LCP,4
raw,4
down,4
analog,4
MAX,4
SSN_CONFIG,4
Interrupt\n,4
\Block,\,4
interval,4
IK_WOL,4
Copy,4
OS,4
***********************************,4
Normal,4
////////////////////,4
w5100,4
////////////////////////////////////////////////////////////////////////////////////////////,4
0x10000,4
space,4
Timer,4
Unicast,4
Sn_RX_RSR,4
/////////////////////////////////////,4
Size,4
since,4
setting,4
Sn_RX_WR,4
application,4
UIPR,4
64KB,4
ex>,4
\Sn_MR_MACRAW,\,4
checked,4
ptrdiff_t,4
else,4
been,4
calculation,4
close,4
Source,4
location,4
//////////////////////////,4
RECV,4
assigned,4
even,4
But,4
broadcasting,4
replace,4
flags,4
hostname,4
want,4
\_WIZCHIP_IO_MODE_BUS_INDIR_,4
previous,4
timestamp,4
\%d\n"\,\,4
VERSIONR,4
transmission,4
\WOL,\,4
100;,4
Multicasting,4
listening,4
SOCKETn,4
Configured,4
5,4
DISCOVER,4
Basic,4
>,4
Sn_TX_FSR,4
messages,4
sotype,4
brief,4
100,4
0:,4
AddrSel,4
5200,4
Option,4
cycle,4
copies,4
BIT_3);,4
M20131220,4
shown,4
Non-block,4
Typing,4
between,4
\current,\,4
Time,4
Casting,4
real,4
whenever,4
PIN,4
Sensor,4
Integrating,3
Configurations,3
Processing,3
INTn,3
_DHCP_DEBUG_,3
unreachable),3
reading,3
RCR,3
implemented,3
x00,3
Sn_IR[TIMEOUT],3
Eric,3
structure,3
WIZCHIP_WRITE_BUF(),3
connection-request,3
ctlwizchip(),3
States,3
shows,3
unexpectedly,3
closing.\n,3
normally,3
\4,\,3
configure,3
\WIZCHIP_READ_BUF(),\,3
ordered.\n,3
Sn_DHAR,3
Turn,3
Disconnect-process,3
\0xFFFF,\,3
V1.0.2,3
api,3
wiz_PhyConf,3
D20150601,3
connect,3
array,3
but,3
options,3
next,3
Resets,3
2016.10.28,3
OFFER,3
still,3
correct,3
*or,3
string,3
24LC08,3
just,3
inside:,3
@par,3
<code>,3
KA,3
Controls,3
errata),3
means,3
I2C1,3
(ARP,3
pin,3
remain,3
kind,3
about,3
sequence,3
Errata,3
1),3
8,3
uint32_t,3
Wrong,3
filled,3
wizchip_bus_writebyte,3
Tx,3
sensor-4,3
day,3
free,3
more,3
fields,3
PHAR,3
(PR3+1)*((float)duty_cycle/100);,3
duty_cycle++),3
reads,3
\occurs),\,3
corresponds,3
Output,3
ack,3
compile),3
SYMBOE,3
respectively,3
peripheral,3
-1,3
///<,3
MR,3
\Irms_currents[3],\,3
Listen,3
IFS0<9>,3
frequency,3
temporary,3
V1.0.1,3
#5,3
Peer,3
<i>len(variable)</i>,3
Gets,3
waiting,3
i,3
enough,3
implict,3
priority/subpriority,3
pnetinfo,3
SPI2,3
SOCK,3
high,3
SIPR,3
wiz_NetInfo,3
rated,3
determined,3
header,3
Modify,3
IFS0<4>,3
setsockopt(),3
\successfully,\,3
\W5200,\,3
SEND_MAC,3
SOCKERR_SOCKSTATUS,3
\#4,\,3
at:,3
ctlnetwork(),3
Stop,3
'sn',3
100KHz,3
DISCON,3
Status,3
1:1,3
Sn_MR_TCP,3
IEC0<4>,3
netinfo,3
ethernet,3
Max,3
(PR2+1)*((float)duty_cycle/100);,3
makeDHCPMSG(),3
width,3
main,3
\Irms_currents[0],\,3
SOCKERR_IPINVALID;,3
\printf("\<<timeout>>\,3
Initializes,3
sensor-2,3
peter,3
IR_UNREACH,3
len;,3
TCP/UDP,3
copy,3
LAYER,3
sockint_kind,3
being,3
\Timer2,\,3
Non-TCP,3
three,3
closed,3
ith,3
samples,3
///////////////////////////////////,3
active-close,3
'@ref,3
SO_PACKINFO,3
\completed,\,3
value</td></tr>,3
config,3
Fixed,3
****************************************************************************,3
them,3
initialization,3
File,3
phyconf,3
dummy,3
PACK_REMAINED,3
SOCK_MACRAW,3
setSn_MSSR(),3
RAW,3
\failed,\,3
applied),3
bigger,3
\int,\,3
REQUEST,3
type</td><td>@b,3
And,3
channel,3
deselect,3
Maximum,3
characters,3
\WIZCHIP_READ(),\,3
wizchip_spi_writebyte,3
recvfrom(),3
PWM,3
(When,3
Param,3
direct,3
Re-define,3
static,3
Do,3
asserted,3
humidity,3
Connection,3
increased,3
\Irms_currents[2],\,3
255;,3
always,3
sensor-3,3
sensor-1,3
over,3
ctlsock_type,3
\Irms_currents[1],\,3
two,3
ref,3
</code>,3
interrupts,3
Wiz5500,3
duration,3
\WIZCHIP_WRITE(),\,3
Even,2
\OFFER,\,2
clientconnection,2
Issued,2
nettime,2
disconnected,2
\0xAA,\,2
getSn_DIPR(),2
assignment,2
sampling,2
setSIPR(),2
(uint8_t*)dipr,2
setINTLEVEL(),2
please,2
Sn_CR_OPEN,2
multivectored,2
\2Kbytes,\,2
_WIZCHIP_IO_MODE_BUS_DIR_,2
\addr,\,2
Others,2
\time,\,2
wizNetInfo,2
SO_TOS,2
Need,2
<td>X</td>,2
Following,2
getSn_TxMAX(s)),2
@endcond,2
(\ref,2
ground,2
\However,\,2
Theses,2
follows,2
machines,2
seconds,2
_WIZCHIP,2
non-OS,2
Indclude,2
Sn_MR_MULTI,2
SHAR,2
\But,\,2
\configured,\,2
(uint8_t*)sipr,2
getsockopt(),2
wb),2
act,2
OC3,2
mode</b>,2
\temperature_bytes[0],\,2
\DISCOVER,\,2
\case,\,2
operate,2
Initiate,2
Sine,2
OC4,2
implement,2
Decide,2
executed,2
unicast,2
channels,2
was,2
setSn_IR(),2
dhcp.h,2
initially,2
zero\n,2
once,2
(greater,2
\0',\,2
10,2
whole,2
RA0,2
\SO_PACKINFO,\,2
op,2
RB0,2
Module,2
\sockint_kind,\,2
\API>"\\,2
<stdio.h>,2
\sa,2
confirms,2
*((uint32_t*)addr),2
self,2
different,2
DHCP_init(),2
flow,2
pBuf,2
getPMRU(),2
destination(0.0.0.1),2
Should,2
works,2
Result,2
spi_rb,2
///////////,2
M20160503,2
\SOCK_ESTABLISHED,\,2
(0x001B,2
SF_TCP_ALIGN,2
auto,2
SOCKERR_PORTZERO,2
indication,2
calculate,2
Added,2
here,2
keep,2
whatever,2
Sn_RX_RD),2
(uint8_t*)dhar,2
100and,2
PACK_COMPLETED,2
getSn_TOS(),2
disconnect,2
protect,2
Client,2
report,2
Loop,2
**************************************,2
note,2
setPMRU(),2
200,2
received_size,2
elements,2
\is,\,2
spi_wb,2
Else,2
avoiding,2
16Kbytes,2
n.\n,2
10us,2
device,2
100);,2
Parse,2
wizchip_spi_readbyte,2
Indicate,2
Inputs:,2
\0x91,\,2
if(*((uint32_t*)addr),2
order,2
whether,2
necessary,2
\i,\,2
RCEN,2
OCxRS,2
Kbytes,2
Unreachable,2
unsupported,2
5ms,2
SO_DESTPORT,2
Machine_load_currents[i],2
calls,2
cntype,2
\ratings,\,2
dependent,2
client</b>,2
re-initialized,2
ping,2
Retry,2
enter,2
MULTI,2
comment,2
temperature_bytes[1]);,2
V1.1.0,2
operates,2
(0x0030,2
slew,2
align,2
thus,2
Mathias,2
<b>access,2
SEND/SEND_MAC,2
Unused,2
ctlwizchip_type,2
erratum,2
Sn_IR_TIMEOUT,2
full,2
(uint8_t*)subr,2
(PERIPH_CLK,2
fail,2
reply,2
\words,\,2
SOCKERR_SOCKINIT,2
Although,2
if(,2
<td>@b,2
Load,2
test,2
(P[3:0],2
SEND_KEEP,2
\REQUEST,\,2
State,2
\API,\,2
dhcp.c,2
display,2
count(@ref,2
(i,2
setSn_DPORT(),2
nul,2
outgoing,2
packinfo[7],2
setSn_TTL(),2
\"\TCP\,2
incremented,2
duty,2
Static,2
<i>wizdata(pointer,2
struct,2
much,2
\on,\,2
(uint8_t)ir,2
Decides,2
i++),2
cwtype,2
html,2
First,2
///////////////////////////////,2
udp,2
writes,2
shared,2
softly,2
buffer.\n,2
1ms,2
(*bus_wb)(uint32_t,2
IMR,2
X,2
Support,2
\0xBB,\,2
never,2
6);,2
Jung,2
///////////////////////////,2
wiz_NetTimeout,2
reporting,2
\CurrentSensor_Read_RMS(i,\,2
\CLOSE,\,2
\configurations,\,2
closing,2
WIZCHIP.IF.BUS._read_byte,2
PRy,2
automatic,2
\SERVER"\\,2
&packinfo),2
don't,2
<td>PPPoE</td>,2
\_WIZCHIP_IO_MODE_SPI_VDM_,2
Assume,2
priority,2
sendto(),2
Compare,2
10),2
getINTLEVEL(),2
\ACK,\,2
member,2
pick,2
\printf("\Check\,2
SOCK_IO_BLOCK,2
RB1,2
requests,2
uint8_t[4],2
getSn_IMR(),2
getRTR(),2
non-zero,2
node,2
bits,2
accepting,2
Peripheral,2
header),2
establishing,2
ARPTO,2
(uint8_t*)phar,2
\client,\,2
0x0005;,2
Definition,2
Ethernet,2
independant,2
re-configure,2
connecting,2
W5100.h,2
addrsel,2
Because,2
exit,2
\wizchip_bus_readbyte,\,2
carriage,2
\AddrSel,\,2
Lan,2
addrBuf,2
(0x0019,2
SOCKERR_SOCKOPT,2
idle,2
Speed,2
SHOULD,2
parameter.\n,2
Sn_MR(P3:P0),2
setSn_TOS(),2
wiz_recv_data(),2
Start,2
\array,\,2
disabling,2
I2C2,2
AC,2
assing,2
setSn_TXBUF_SIZE(),2
PIC32MX,2
serverbefore,2
break;,2
Currents,2
wizdata,2
follows.\n,2
need,2
if(tmp,2
�Socket,2
\getPMAGIC(),\,2
Phase,2
*********************************************,2
consecutive,2
\addr),\,2
((float)10,2
ctlnetwork_type,2
own,2
\byte,\,2
Now,2
S/W,2
Multicasting\n,2
<2012/12/20>,2
reg_wizchip_xxx_cbfunc(),2
Try,2
REQEUST,2
&&,2
Filtering\n,2
Segment,2
7,2
_RCR_),2
\message,\,2
fixed,2
\nothing,\,2
thresholds,2
link,2
configruation,2
allocation,2
Intialize,2
50Hz,2
tests,2
SO_MSS,2
V1.1.1,2
Sn_MR_TCP),2
halt,2
wave,2
diagram,2
010,2
broadcast,2
RA1,2
Rx,2
\getSn_IR(),\,2
getSn_TTL(),2
netmode_type,2
defines,2
\bit,\,2
\temperature,\,2
stream,2
mode(R/W),2
16000),2
address\n,2
well,2
SO_DESTIP,2
block\n,2
(FRC),2
make,2
both,2
\not,\,2
\reset,\,2
\TCP,\,2
four,2
disconnect-request,2
Sn_IR(0),2
getUPORTR(),2
\exceeded,\,2
WIZCHIP_WRITE_BUF,2
unsigned,2
HAL,2
pins,2
<2013/11/18>,2
data.\n,2
mode(R),2
format,2
Calculate,2
setSn_TX_WR(),2
<td>\b,2
IOMAP,2
Clock,2
\TTL,\,2
designated,2
\Sn_TX_FSR,\,2
Software,2
//////////////////////,2
WHIZCHIP,2
\1,2,4,8,\,2
\addition,\,2
192;,2
1.1.1,2
shift,2
enumration,2
SYN/ACK,2
Implicit,2
(FIN,2
Register(@ref,2
difference,2
Wave,2
trigger,2
max_size,2
registers</b>,2
s,2
\NUM_OF_ADC_SAMPLES_FOR_IRMS,\,2
getPSID(),2
CLOSE,2
scan,2
168;,2
sock_io_mode,2
@cond,2
(getSn_TX_FSR(s),2
readings,2
100kHz,2
\setSn_IMR(),\,2
'1',2
alive,2
reduces,2
packets,2
packet(Destination,2
<2013/12/20>,2
\Sn_IR,\,2
/////////////////////////////////,2
restart,2
\Sn_SR,\,2
0xF1,2
cstype,2
debug,2
\size,\,2
setMR(),2
can't,2
Internet,2
Orange,2
DOXY_APPLY_CODE,2
unknown,2
operating,2
PACK_COMPLETED;,2
SOCKERR_IPINVALID,2
Main,2
Debugging,2
WIZCHIP.IF.BUS._write_byte,2
2KB,2
inside,2
\printf("\Temp\,2
SOCK_UDP,2
<2012/12/26>,2
AVERAGE,2
itself,2
SOCKERR_SOCKCLOSED,2
0.707,2
respond,2
<I>sotype</I>,2
60MHz,2
states,2
\printf("\Received\,2
connection-process,2
\printf("\>>>>>>>>>>>>>>>>>>\,2
figure,2
Closed,2
_WIZCHIP_IO_MODE_SPI_FDM_,2
\APIs,\,2
w5100s,2
accessed,2
LAN,2
\SSN_CURRENT_SENSOR_RATINGS[i],\,2
mismatched,2
etc..,2
setSn_KPALVTR(),2
Init,2
\valid,\,2
3);,2
mode</b>),2
peer's,2
See,2
total,2
\details,\,2
-@ref,2
\0,\,2
SO_KEEPALIVEAUTO,2
setRTR(),2
cbfunc,2
Sizes,2
\setSn_DIPR(),\,2
recv,2
32bit,2
256,2
\that,\,2
\SF_MULTI_ENABLE,\,2
WIZCHIP_READ_BUF,2
\SEND,\,2
last,2
initialize,2
store,2
Transformer,2
SW,2
\Otherwise,\,2
defgroup,2
HW,2
Sn_IR_TIMEOUT),2
<2019/10/08>,2
(uint8_t)mr,2
\W5100S,\,2
Config,2
(automatic),2
(uint8_t*)gar,2
SOCK_LISTEN,2
\W5500,\,2
sum,2
n-th,2
number\n,2
\getsockopt(sn,\,2
less,2
0-59,2
_RTR_),2
\Sn_RX_RSR,\,2
@image,2
apply,2
\mode(001,\,2
auto-increased,2
scalar,2
\pBuf,\,2
Move,2
dhcp,2
\status,\,2
(uint32_t,2
so..,2
everything,2
intr,2
1.0.2,2
len),2
\PACK_FIRST,\,2
accept(),2
fraction,2
getSn_DPORT(),2
\SF_ETHER_OWN,\,2
During,2
2019/10/08,2
program,2
functions</b>,2
\UDP,\,2
rate,2
(if,2
close(),2
enabled,2
Use,2
(uint8_t*)shar,2
invalid,2
Tick,2
address(R),2
modification,2
Setup,2
FIN/ACK,2
option\n,2
TMR,2
There,2
1.0.0,2
ARP-process.\n,2
sizes,2
mode),2
\MSS,\,2
\_RTR_,\,2
(uint8_t)imr,2
selected,2
value(@ref,2
5100S,2
\SIK_CONNECTED,\,1
led,1
filter,1
divisor,1
0xC000;,1
Inout,1
Frequency,1
\10/100,\,1
ADC_raw_samples[NO_OF_MACHINES][NUM_OF_ADC_SAMPLES_FOR_IRMS];,1
transmittable,1
single,1
Assign,1
\2,\,1
JTAG,1
\"\<Berkeley\,1
relative_humidity_bytes[1]);,1
FRAG(Fragment,1
Berkeley_SOCKET.jpg,1
(uint16_t)SOCKERR_TIMEOUT;,1
PHY_DUPLEX_FULL,1
Size(Sn_MSSR0),1
SEND_OK,1
requested,1
new_recv_buffer_val);,1
4MHz,1
\PACK_REMAINED,\,1
A20160426,1
porting,1
*****************************************************************************/,1
5s,1
accepted,1
Service(TOS),1
(PR2+1)*((float)(100-duty_cycle)/100);,1
sized,1
wizchip_spi_readburst(uint8_t*,1
mode(<b>Client,1
\bytes,\,1
sign,1
care,1
empty,1
DHCP_BOOTREQUEST,1
signifying,1
connect-accept(SYN/ACK,1
getSn_IMR(socket_number));,1
(PR3,1
\printf("\Humid\,1
\normal,\,1
optimized(removed),1
1.65,1
FLAG,1
message;,1
<td><b>send()</b></td>,1
*((volatile,1
buffer)</i>,1
dchp_state,1
2nd,1
pDHCPMSG,1
\printf("\----\,1
default_MAC[i]),1
save,1
getSn_TxMAX(sn),1
(uint16_t)dport,1
PHY_POWER_NORM,1
auto-negotiation,1
standard,1
wizchip_conf.h,1
DisablePPPoE,1
cs_sel,1
<td>Sn_MR_UDP,1
((WIZCHIP_READ(Sn_PORT(sn)),1
setSn_MR(),1
bytes',1
terminated,1
communicate,1
\connect,\,1
Size:,1
\setIR(),\,1
Disabled),1
few,1
Order,1
\printf("\Temperature:\,1
bus_rb,1
SF_IO_NONBLOCK,1
wizchip_cris_enter,1
modify,1
\check_MAC[i],\,1
WIZCHIP_IO_Functions_W5200,1
<b>Passive,1
(001)</td>,1
dimension,1
e),1
\recv_data[4],\,1
average,1
Size(MSS),1
bus_rb;,1
1sec,1
Examples,1
variables,1
Current-Output,1
\WIZCHIP_READ(WIZCHIP_OFFSET_INC(_RTR_,1)))\,1
SerialReceive(),1
<b>DISCON,1
routines,1
recoverting,1
MR_FARP,1
port),1
getSn_MR(),1
.CRIS._enter,1
0x0001;,1
PGEC2/PGED2),1
Legacy,1
immediately\n,1
===========================================================,1
Otherwise,1
under,1
1.0.1,1
SOCK_TIME_WAIT,1
(that,1
0x8000,1
0xFFFF(greater,1
open_UART2,1
Unmask,1
SOCK_LAST_ACK,1
(check,1
SEND.\n,1
Read/Write,1
TRISAbits.TRISA1,1
DHCP_HTYPE100MB,1
created,1
functional,1
ACKEN,1
\getSHAR(),\,1
Day,1
listen(),1
Exit,1
<td>SOCK_MACRAW,1
timeTicks,1
@b'sn',1
setsockopt,1
==================================================,1
Tests,1
comma,1
\received,\,1
close()->socket()->close()->socket()->,1
)\n,1
//////////////////////////////////////////////////,1
getSn_RX_RSR(),1
Vailid,1
\socket,\,1
\UIPR,\,1
PHY_SPEED_100,1
(0x0032,1
Validation,1
Number,1
below,1
CHECK_SOCKMODE(Sn_MR_TCP);,1
(uint16_t)intlevel,1
Test,1
WIZ5500_network_information.dns[3],1
1.0.3,1
